plot_id;x;y
O_220224;751481,3701;4730201,871
O_220227;752549,3928;4729274,834
O_220527;753618,4157;4728348,797
O_220530;737892,9468;4727790,013
O_220537;737892,9342;4726790,003
O_220538;738892,9524;4726789,996
O_220539;739892,9708;4726789,99
O_220545;740892,9803;4725789,971
O_220546;741893,0045;4725789,963
O_220563;755041,3304;4722433,659
O_220569;756109,3397;4721506,619
O_220656;753754,1038;4712315,712
O_220221;736892,9697;4731790,043
O_220222;753405,4548;4731340,823
O_220225;734892,9075;4729790,04
O_220228;735892,9178;4728790,031
O_220229;736892,9379;4728790,025
O_220528;755613,4835;4728489,73
O_220532;754686,4302;4727421,746
O_220533;756682,4976;4727563,68
O_220535;735892,8973;4726790,016
O_220536;736892,9158;4726790,009
O_220541;756752,4764;4726565,664
O_220543;736892,9041;4725789,999
O_220547;737892,9089;4724789,982
O_220548;739892,9417;4724789,968
O_220554;737892,8964;4723789,971
O_220555;739892,9273;4723789,957
O_220556;742892,9957;4723789,928
O_220561;738892,8985;4722789,954
O_220562;741892,9569;4722789,925
O_220573;754185,2621;4720367,679
O_220574;757178,3462;4720579,582
O_220578;743892,9574;4719789,889
O_220580;753258,2131;4719298,701
O_220591;753329,1956;4718301,698
O_220610;750478,0734;4716093,759
O_220611;753471,1603;4716306,693
O_220624;753542,1452;4715308,696
